古文,現代語訳
のたまふ,おっしゃる
おほす（仰す）,おっしゃる
ききこしめす,お聞きになる ／ 召し上がる
ごらんず,ご覧になる
まうまうす（申す）,申し上げる ／～申し上げる
きこゆ・きこえさす,申し上げる ／～申し上げる
おはす・おはします,いらっしゃる ／ ～ていらっしゃる
おぼす・おぼしめす,お思いになる
たまふ[四段],お与えになる ／ お～になる
たまふ[下二段],～ております
たまはす,お与えになる
たまはる,いただく ／ 頂戴する
うけたまはる,お受けする ／ お聞きする
たてまつる,差し上げる ／～申し上げる ／ お召しになる／召し上がる
はべり（侍り）,お仕えする ／ あります／おります ／ ～(ござい)ます
さぶらふ（候ふ）,お仕えする ／ あります／おります ／ ～(ござい)ます
めす（召す）,お呼び寄せになる ／ 召し上がる ／ お召しになる ／ お乗りになる
まうまうづ（詣づ）,参上する ／ 参詣する
まゐる（参る）,参上する ／ 差し上げる ／ し申し上げる ／ 召し上がる
まゐらす（参らす）,差し上げる ／～申し上げる
まかる（罷る）,退出する ／ 参ります ／ ～申す
まかづ（罷づ）,退出する ／ 出かけます
つかはす（遣はす）,おやりになる ／ お与えになる ／ 贈る／行かせる
あそばす,演奏をなさる／お詠みになる ／ ～(を)なさる
つかうまつる,お仕え申し上げる ／ し申し上げる／いたす ／～申し上げる
おおおとのごもる,おやすみになる
しろしめす,ご存じである ／ お治めになる
行幸・行啓・御幸,天皇のお出かけ ／ 皇后などのとお出かけ ／ 上皇などのとお出かけ
そうす（奏す）,(天皇・上皇に)申し上げる
けいす（啓す）,(皇后・中宮・皇太子に)申し上げる
